SerialNumber,Red,Green,Blue,Date,Label
390,2.88622259,2.639424896,5.473519027,2016-Oct-07,Original
391,2.911298482,2.526533829,5.570414495,2016-Oct-07,Original
392,2.840671073,2.476498615,5.524073159,2016-Oct-07,Original
393,2.794217348,2.492861908,5.519645495,2016-Oct-07,Original
394,2.803010537,2.478804911,5.430719378,2016-Oct-07,Original
395,2.877385892,2.652661779,5.686605923,2016-Oct-07,Original
396,2.983291412,2.653403643,5.850951374,2016-Oct-07,Original
397,2.930331126,2.594277674,5.58123108,2016-Oct-07,Original
398,2.81738255,2.505959606,5.481479869,2016-Oct-07,Original
399,2.736435644,2.418022747,5.335521236,2016-Oct-07,Original
400,2.816907164,2.401916376,5.471031746,2016-Oct-07,Original
401,2.818652144,2.470279407,5.476984127,2016-Oct-07,Original
402,2.840068611,2.562567066,5.453754941,2016-Oct-07,Original
403,2.503129252,2.267392421,4.807839721,2016-Oct-07,Original
404,2.980727125,2.679105928,5.840677966,2016-Oct-07,Original
405,2.931034483,2.567379182,5.569556452,2016-Oct-07,Original
406,2.708941896,2.469402319,5.29292543,2016-Oct-07,Original
407,2.68879385,2.350785687,5.16830385,2016-Oct-07,Original
408,2.999311178,2.651634615,5.867446809,2016-Oct-07,Original
409,2.867791331,2.581682243,5.580606061,2016-Oct-07,Original
410,NaN,NaN,NaN,,
411,2.886278827,2.529010967,5.613184584,2016-Oct-07,Original
412,2.59718706,2.371489726,4.808854167,2016-Oct-07,Original
413,2.909926342,2.626210826,5.664223942,2016-Oct-07,Original
414,2.719293449,2.359318656,5.395507813,2016-Oct-07,Original
415,2.935917175,2.508983666,5.347969052,2016-Oct-07,Original
416,3.296839982,2.870341463,6.523503326,2017-Apr-03,Original
417,3.051449275,2.870204479,5.967004049,2017-Apr-03,Original
418,2.81202577,2.579947461,5.415992647,2017-Apr-03,Original
419,2.890284593,2.583508772,5.578030303,2017-Apr-03,Original
420,2.856547042,2.512883959,5.433763838,2017-Apr-03,Original
421,2.697163769,2.444444444,5.118055556,2017-Apr-03,Original
422,2.506552076,2.23837386,4.743478261,2017-Apr-03,Original
423,2.703730932,2.445719036,5.083275743,2017-Apr-03,Original
424,2.705120551,2.393498578,5.268694097,2017-Apr-03,Original
425,2.959839357,2.615794144,5.680154143,2017-Apr-03,Original
426,2.809628217,2.466359833,5.496643044,2017-Apr-03,Original
427,2.715483871,2.534451613,4.993728814,2017-Apr-03,Original
428,2.687511395,2.42600288,5.250578807,2017-Apr-03,Original
429,2.829423077,2.483206751,5.439186691,2017-Apr-03,Original
430,2.724584104,2.404077472,5.162872154,2017-Apr-03,Original
431,3.062165671,2.709650735,6.0226762,2017-Apr-03,Original
432,2.752567694,2.49618967,5.449168207,2017-Apr-03,Original
433,2.827139775,2.528301887,5.636711281,2017-Apr-03,Original
434,3.08541503,2.71252302,6.175681342,2017-Apr-03,Original
435,2.755374836,2.465044322,5.284510577,2017-Apr-03,Original
436,2.953907816,2.539190353,5.814595661,2017-Apr-03,Original
437,2.831665063,2.493305085,5.704507998,2017-Apr-03,Original
438,2.845515911,2.554362881,5.436256448,2017-Apr-03,Original
439,2.728997917,2.331817283,5.350272232,2017-Apr-03,Original
440,2.794312796,2.438378825,5.264285714,2017-Apr-03,Original
441,3.041864302,2.739598811,6.097560976,2017-Apr-03,Original
442,2.840761262,2.530472103,5.350272232,2017-Apr-03,Original
443,2.85106383,2.58313253,5.647509579,2017-Apr-03,Original
