SerialNumber,Red,Green,Blue,Date,Label
86,2.0063,2.5814,5.5212,2016-Apr-26,PostIRCorrection
87,1.3252,1.7717,3.1424,,Original
87,1.5244,1.9798,3.9906,2016-Mar-01,PreIRCorrection
87,1.5501,2.0401,4.1131,2016-Mar-10,PostIRCorrection
88,1.2636,1.7158,2.9107,,Original
88,,,,,
88,,,,,
89,1.3209,1.7527,3.1346,,Original
89,1.5579,2.0065,4.0514,2016-Mar-15,PreIRCorrection
89,1.6021,2.0743,4.1645,2016-Apr-13,PostIRCorrection
90,1.1985,1.6139,2.7627,,Original
90,1.3435,1.7716,3.2482,2016-Mar-15,PreIRCorrection
90,1.5253,1.9576,3.9902,2016-Apr-13,PostIRCorrection
91,1.647,2.2639,3.9756,,Original
91,,,,,
91,,,,,
92,1.7173,2.3249,4.1805,,Original
92,2.0456,2.7054,5.5871,2016-Mar-15,PreIRCorrection
92,2.1011,2.778,5.7411,2016-Apr-13,PostIRCorrection
93,1.3377,1.7711,3.204,,Original
93,1.5921,2.0591,4.235,2016-Mar-15,PreIRCorrection
93,1.6256,2.1059,4.3125,2016-Apr-13,PostIRCorrection
94,1.2673,1.7093,3.1285,,Original
94,,,,,
94,,,,,
95,1.1579,1.1024,1.1575,,Original
95,,,,,
95,,,,,
96,1.6705,2.1618,3.8684,,Original
96,,,,,
96,,,,,
97,1.6708,2.3333,4.0833,,Original
97,2.0653,2.654,5.3094,2016-Mar-01,PreIRCorrection
97,1.8843,2.4735,4.9765,2016-Mar-10,PostIRCorrection
98,1.2684,1.75,3,,Original
98,1.4812,1.9486,3.7431,2016-Mar-11,PreIRCorrection
98,1.5758,2.1138,4.4019,2016-Mar-14,PostIRCorrection
99,1.2809,1.688,3.0776,,Original
99,1.3658,1.7288,3.5318,2016-Jun-13,PreIRCorrection
99,1.5031,1.8679,3.9051,2016-Jun-21,PostIRCorrection
100,1.6705,2.194,4.3235,,Original
100,,,,,
100,,,,,
101,1.3279,1.8596,3.0488,,Original
